...1,es_score,brier_score,location,target_date,X24B_50_CI,X24C_50_CI,recombinant_50_CI,other_50_CI,X24A_50_CI,X24B_95_CI,X24C_95_CI,recombinant_95_CI,other_95_CI,X24A_95_CI
1,NA,NA,AK,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,AK,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,AK,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,AK,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,AK,2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,AK,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,AK,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,AK,2024-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2024-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2024-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1.18780287358932,0.3183568269507655,AL,2024-03-13,0,1,1,1,0,0,1,1,1,0
47,NA,NA,AL,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.00686766217739478,9.49911950245285e-4,AL,2024-03-18,1,1,1,1,1,1,1,1,1,1
52,NA,NA,AL,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,AL,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0.00647097456010778,0.00353273990565562,AL,2024-03-26,1,1,1,1,1,1,1,1,1,1
60,NA,NA,AL,2024-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2024-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.0181703814981266,0.01937325069892745,AL,2024-04-01,1,1,1,1,1,1,1,1,1,1
66,NA,NA,AL,2024-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2024-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2024-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2024-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,0.00127096787367457,5.37120032491365e-4,AR,2024-03-12,1,1,1,1,1,1,1,1,1,1
88,NA,NA,AR,2024-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,0.0112392356251544,0.00140435735700182,AR,2024-03-21,1,1,1,1,1,1,1,1,1,1
97,NA,NA,AR,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
